title,author,runtime
78. The 7 Habits of Highly Effective People,By: Stephen R. Covey,Length: 13 hrs and 4 mins
79. Ugly Love,By: Colleen Hoover,Length: 9 hrs and 14 mins
80. Sapiens,By: Yuval Noah Harari,Length: 15 hrs and 18 mins
81. The Way of Kings,By: Brandon Sanderson,Length: 45 hrs and 30 mins
82. A Court of Silver Flames,By: Sarah J. Maas,Length: 26 hrs and 5 mins
83. Unfinished Business,By: Nora Roberts,Length: 6 hrs and 36 mins
84. Becoming Free Indeed,"By: Jinger Duggar Vuolo, Corey Williams",Length: 5 hrs and 49 mins
85. It's OK to Be Angry About Capitalism,"By: Senator Bernie Sanders, John Nichols",Length: 10 hrs and 59 mins
86. What Happened to You?,"By: Oprah Winfrey, Bruce D. Perry",Length: 8 hrs and 27 mins
87. He Who Fights with Monsters: A LitRPG Adventure,"By: Shirtaloon, Travis Deverell",Length: 28 hrs and 56 mins
88. The Fellowship of the Ring,By: J. R. R. Tolkien,Length: 19 hrs and 7 mins
89. The End and the Death: Volume 1,By: Dan Abnett,Length: 18 hrs and 33 mins
90. Horse,By: Geraldine Brooks,Length: 14 hrs and 6 mins
91. Born a Crime,By: Trevor Noah,Length: 8 hrs and 44 mins
92. Think Like a Monk,By: Jay Shetty,Length: 10 hrs and 54 mins
93. The Real Anthony Fauci,By: Robert F. Kennedy Jr.,Length: 27 hrs and 20 mins
94. Discipline Is Destiny,By: Ryan Holiday,Length: 7 hrs and 17 mins
95. The Perfect Marriage,By: Jeneva Rose,Length: 8 hrs and 52 mins
96. The Untethered Soul,By: Michael A. Singer,Length: 6 hrs and 11 mins
97. The Hunger Games: Special Edition,By: Suzanne Collins,Length: 10 hrs and 35 mins
98. The Myth of Normal,"By: Gabor Maté MD, Daniel Maté",Length: 18 hrs and 12 mins
99. House of Earth and Blood,By: Sarah J. Maas,Length: 27 hrs and 50 mins
100. The House at the End of the World,By: Dean Koontz,Length: 10 hrs and 22 mins
